bigrams,count,percentage,pos
of the,556,1.1084,"other,other"
in the,327,0.6519,"other,other"
the image,319,0.6359,"other,noun"
to the,310,0.618,"other,other"
to be,275,0.5482,"other,verb"
the artwork,251,0.5004,"other,noun"
appears to,200,0.3987,"verb,other"
the painting,198,0.3947,"other,verb"
the background,197,0.3927,"other,noun"
depicts a,184,0.3668,"noun,other"
with a,182,0.3628,"other,other"
sense of,180,0.3588,"verb,other"
on the,171,0.3409,"other,other"
use of,161,0.321,"verb,other"
a sense,160,0.319,"other,verb"
and the,153,0.305,"other,other"
image depicts,144,0.2871,"noun,noun"
in a,140,0.2791,"other,other"
characteristic of,136,0.2711,"adj,other"
be a,134,0.2671,"verb,other"
the overall,125,0.2492,"other,adj"
is a,124,0.2472,"verb,other"
of a,113,0.2253,"other,other"
the scene,113,0.2253,"other,noun"
characterized by,109,0.2173,"verb,other"
the artist,103,0.2053,"other,noun"
with the,98,0.1954,"other,other"
which is,91,0.1814,"other,verb"
at the,89,0.1774,"other,other"
the style,89,0.1774,"other,noun"
and a,86,0.1714,"other,other"
the use,85,0.1694,"other,verb"
color palette,84,0.1675,"noun,noun"
artwork is,83,0.1655,"noun,verb"
art deco,82,0.1635,"noun,adj"
the art,81,0.1615,"other,noun"
the woman,81,0.1615,"other,noun"
style of,80,0.1595,"noun,other"
background is,79,0.1575,"noun,verb"
is characteristic,78,0.1555,"verb,adj"
style is,77,0.1535,"noun,verb"
of color,77,0.1535,"other,noun"
a woman,73,0.1455,"other,noun"
the subject,73,0.1455,"other,adj"
typical of,72,0.1435,"adj,other"
light and,72,0.1435,"adj,other"
known for,71,0.1415,"verb,other"
the color,69,0.1376,"other,noun"
of light,69,0.1376,"other,adj"
she is,68,0.1356,"other,verb"
there s,68,0.1356,"other,noun"
palette is,66,0.1316,"noun,verb"
by the,65,0.1296,"other,other"
what appears,65,0.1296,"other,verb"
from the,64,0.1276,"other,other"
the viewer,64,0.1276,"other,noun"
dressed in,62,0.1236,"verb,other"
seems to,60,0.1196,"verb,other"
the figure,60,0.1196,"other,noun"
painting is,60,0.1196,"verb,verb"
the title,58,0.1156,"other,noun"
there are,56,0.1116,"other,verb"
emphasis on,55,0.1096,"noun,other"
the colors,55,0.1096,"other,noun"
the central,54,0.1076,"other,adj"
s a,54,0.1076,"noun,other"
rendered in,53,0.1057,"verb,other"
adorned with,53,0.1057,"verb,other"
colors and,53,0.1057,"noun,other"
on a,52,0.1037,"other,other"
wearing a,52,0.1037,"verb,other"
artist s,52,0.1037,"noun,noun"
creating a,51,0.1017,"verb,other"
art style,51,0.1017,"noun,noun"
attention to,51,0.1017,"noun,other"
scene the,50,0.0997,"noun,other"
the left,50,0.0997,"other,verb"
the composition,49,0.0977,"other,noun"
by its,48,0.0957,"other,other"
in an,48,0.0957,"other,other"
features a,47,0.0937,"noun,other"
impressionist style,47,0.0937,"adj,noun"
on her,47,0.0937,"other,other"
suggesting a,47,0.0937,"verb,other"
background features,46,0.0917,"noun,noun"
you ve,46,0.0917,"other,verb"
a young,46,0.0917,"other,adj"
lines and,45,0.0897,"noun,other"
color and,45,0.0897,"noun,other"
the right,45,0.0897,"other,adj"
and shadow,45,0.0897,"other,verb"
such as,45,0.0897,"adj,other"
could be,44,0.0877,"other,verb"
s work,43,0.0857,"noun,verb"
that is,43,0.0857,"other,verb"
depth and,43,0.0857,"adj,other"
is characterized,43,0.0857,"verb,verb"
of her,41,0.0817,"other,other"
associated with,41,0.0817,"adj,other"
overall composition,41,0.0817,"adj,noun"
image you,40,0.0797,"noun,other"
as a,40,0.0797,"other,other"
bold colors,40,0.0797,"verb,noun"
pop art,40,0.0797,"noun,noun"
with her,39,0.0777,"other,other"
focus on,39,0.0777,"noun,other"
a small,39,0.0777,"other,adj"
the other,39,0.0777,"other,adj"
representation of,38,0.0758,"noun,other"
ve provided,38,0.0758,"verb,verb"
rather than,38,0.0758,"adv,other"
is wearing,38,0.0758,"verb,verb"
which are,38,0.0758,"other,verb"
might be,38,0.0758,"other,verb"
filled with,38,0.0758,"verb,other"
and is,38,0.0758,"other,verb"
in this,37,0.0738,"other,other"
there is,37,0.0738,"other,verb"
is seated,36,0.0718,"verb,verb"
the piece,36,0.0718,"other,noun"
central figure,36,0.0718,"adj,noun"
