word,count,percentage
the,4377,8.6737
a,2176,4.3121
of,1977,3.9177
and,1758,3.4837
is,1223,2.4236
to,958,1.8984
in,930,1.8429
with,914,1.8112
that,617,1.2227
s,538,1.0661
or,492,0.975
on,483,0.9571
her,458,0.9076
be,402,0.7966
style,368,0.7292
which,361,0.7154
are,356,0.7055
image,349,0.6916
an,334,0.6619
by,331,0.6559
artwork,312,0.6183
as,283,0.5608
art,282,0.5588
this,276,0.5469
painting,275,0.545
color,240,0.4756
colors,228,0.4518
background,224,0.4439
appears,212,0.4201
scene,204,0.4043
depicts,198,0.3924
woman,197,0.3904
she,197,0.3904
it,184,0.3646
its,183,0.3626
sense,180,0.3567
light,175,0.3468
figure,174,0.3448
overall,170,0.3369
there,170,0.3369
from,168,0.3329
for,166,0.329
use,162,0.321
features,160,0.3171
characteristic,144,0.2854
has,136,0.2695
his,129,0.2556
at,128,0.2537
artist,125,0.2477
what,122,0.2418
suggesting,119,0.2358
one,112,0.2219
characterized,110,0.218
life,109,0.216
visible,107,0.212
bold,107,0.212
composition,104,0.2061
tones,101,0.2001
right,100,0.1982
palette,99,0.1962
figures,98,0.1942
vibrant,98,0.1942
impressionist,95,0.1883
subject,94,0.1863
piece,92,0.1823
typical,91,0.1803
often,91,0.1803
lines,90,0.1783
their,90,0.1783
movement,89,0.1764
attire,89,0.1764
hair,88,0.1744
setting,88,0.1744
elements,88,0.1744
blue,88,0.1744
deco,83,0.1645
dress,82,0.1625
known,82,0.1625
suggests,81,0.1605
soft,81,0.1605
left,81,0.1605
work,80,0.1585
depth,78,0.1546
face,78,0.1546
white,77,0.1526
seated,76,0.1506
detail,76,0.1506
red,76,0.1506
side,76,0.1506
wearing,75,0.1486
brushstrokes,75,0.1486
also,74,0.1466
expression,74,0.1466
was,74,0.1466
depicted,74,0.1466
rendered,73,0.1447
other,73,0.1447
loose,73,0.1447
dressed,71,0.1407
possibly,71,0.1407
attention,70,0.1387
could,69,0.1367
seems,69,0.1367
within,69,0.1367
form,68,0.1348
adding,68,0.1348
central,68,0.1348
two,68,0.1348
warm,67,0.1328
focus,67,0.1328
title,67,0.1328
child,67,0.1328
portrait,66,0.1308
not,66,0.1308
used,66,0.1308
viewer,65,0.1288
shapes,65,0.1288
creating,64,0.1268
like,62,0.1229
captures,60,0.1189
titled,60,0.1189
against,60,0.1189
adds,59,0.1169
atmosphere,59,0.1169
moment,59,0.1169
around,58,0.1149
genre,58,0.1149
flowers,58,0.1149
impressionism,58,0.1149
dark,58,0.1149
emphasis,57,0.113
towards,57,0.113
young,57,0.113
might,56,0.111
contrast,56,0.111
such,56,0.111
representation,55,0.109
details,55,0.109
adorned,54,0.107
forms,54,0.107
serene,54,0.107
clothing,53,0.105
period,53,0.105
he,53,0.105
but,52,0.103
you,52,0.103
through,52,0.103
over,51,0.1011
quality,51,0.1011
simple,50,0.0991
head,50,0.0991
suggest,50,0.0991
while,50,0.0991
abstract,49,0.0971
nature,49,0.0971
indicating,49,0.0971
shadow,49,0.0971
girl,49,0.0971
small,47,0.0931
post,47,0.0931
signature,47,0.0931
mary,47,0.0931
ve,46,0.0912
green,46,0.0912
bright,46,0.0912
corner,46,0.0912
water,45,0.0892
capturing,45,0.0892
yellow,45,0.0892
includes,45,0.0892
mood,45,0.0892
body,44,0.0872
stylized,44,0.0872
than,44,0.0872
between,44,0.0872
they,44,0.0872
hues,43,0.0852
who,43,0.0852
cassatt,43,0.0852
both,42,0.0832
three,42,0.0832
rather,42,0.0832
associated,42,0.0832
provided,41,0.0812
out,41,0.0812
hat,41,0.0812
sky,41,0.0812
various,41,0.0812
where,41,0.0812
pop,41,0.0812
into,40,0.0793
large,40,0.0793
another,40,0.0793
perhaps,39,0.0773
dynamic,39,0.0773
filled,39,0.0773
matisse,39,0.0773
create,38,0.0753
realistic,38,0.0753
looking,38,0.0753
giving,37,0.0733
human,37,0.0733
natural,37,0.0733
created,37,0.0733
traditional,37,0.0733
can,37,0.0733
holds,36,0.0713
hand,36,0.0713
these,36,0.0713
reminiscent,36,0.0713
classical,36,0.0713
flat,36,0.0713
warhol,36,0.0713
patterns,35,0.0694
essence,35,0.0694
works,35,0.0694
subjects,35,0.0694
still,35,0.0694
some,35,0.0694
geometric,34,0.0674
slightly,34,0.0674
quiet,34,0.0674
rich,34,0.0674
renaissance,34,0.0674
table,34,0.0674
subtle,33,0.0654
more,33,0.0654
effect,33,0.0654
gives,33,0.0654
time,33,0.0654
during,33,0.0654
them,33,0.0654
technique,33,0.0654
long,32,0.0634
muted,32,0.0634
featuring,32,0.0634
providing,32,0.0634
man,32,0.0634
brushwork,32,0.0634
along,32,0.0634
early,32,0.0634
top,31,0.0614
standing,31,0.0614
stands,31,0.0614
behind,31,0.0614
indicative,31,0.0614
context,31,0.0614
intricate,30,0.0594
striking,30,0.0594
yet,30,0.0594
texture,30,0.0594
bottom,30,0.0594
high,30,0.0594
common,30,0.0594
pose,30,0.0594
wears,30,0.0594
emphasizes,30,0.0594
picasso,30,0.0594
chair,29,0.0575
evident,29,0.0575
clear,29,0.0575
landscape,29,0.0575
contributing,29,0.0575
room,29,0.0575
portrays,28,0.0555
painted,28,0.0555
elegance,28,0.0555
way,28,0.0555
clean,28,0.0555
part,28,0.0555
further,28,0.0555
space,28,0.0555
colored,28,0.0555
pastel,28,0.0555
including,28,0.0555
emphasizing,28,0.0555
gentle,28,0.0555
architectural,27,0.0535
give,27,0.0535
indicated,27,0.0535
well,27,0.0535
likely,27,0.0535
facial,27,0.0535
lighting,27,0.0535
holding,27,0.0535
depiction,27,0.0535
capture,27,0.0535
expressionist,26,0.0515
objects,26,0.0515
detailed,26,0.0515
may,26,0.0515
contrasts,26,0.0515
women,26,0.0515
element,26,0.0515
artistic,25,0.0495
impression,25,0.0495
contemplation,25,0.0495
turned,25,0.0495
subdued,25,0.0495
simplicity,25,0.0495
strong,25,0.0495
without,25,0.0495
frame,25,0.0495
beach,25,0.0495
flowing,24,0.0476
interpreted,24,0.0476
no,24,0.0476
dominated,24,0.0476
focusing,24,0.0476
contrasting,24,0.0476
shades,24,0.0476
structure,24,0.0476
creates,24,0.0476
collar,24,0.0476
dramatic,24,0.0476
historical,24,0.0476
center,24,0.0476
manner,24,0.0476
above,24,0.0476
presence,24,0.0476
styled,24,0.0476
impressionistic,24,0.0476
henri,24,0.0476
emotion,23,0.0456
garment,23,0.0456
hands,23,0.0456
earth,23,0.0456
aesthetic,23,0.0456
foliage,23,0.0456
visual,23,0.0456
fruit,23,0.0456
outlines,23,0.0456
foreground,23,0.0456
house,23,0.0456
blues,23,0.0456
de,23,0.0456
contemplative,23,0.0456
interplay,23,0.0456
perspective,23,0.0456
andy,23,0.0456
distinctive,22,0.0436
pattern,22,0.0436
convey,22,0.0436
darker,22,0.0436
dominating,22,0.0436
lower,22,0.0436
trees,22,0.0436
profile,22,0.0436
resting,22,0.0436
lempicka,22,0.0436
sitting,22,0.0436
draped,22,0.0436
everyday,22,0.0436
shows,22,0.0436
cezanne,22,0.0436
elegant,21,0.0416
