word,count,percentage,pos
the,4377,8.6737,other
a,2176,4.3121,other
of,1977,3.9177,other
and,1758,3.4837,other
is,1223,2.4236,verb
to,958,1.8984,other
in,930,1.8429,other
with,914,1.8112,other
that,617,1.2227,other
s,538,1.0661,noun
or,492,0.975,other
on,483,0.9571,other
her,458,0.9076,other
be,402,0.7966,verb
style,368,0.7292,noun
which,361,0.7154,other
are,356,0.7055,verb
image,349,0.6916,noun
an,334,0.6619,other
by,331,0.6559,other
artwork,312,0.6183,noun
as,283,0.5608,other
art,282,0.5588,noun
this,276,0.5469,other
painting,275,0.545,noun
color,240,0.4756,noun
colors,228,0.4518,noun
background,224,0.4439,noun
appears,212,0.4201,verb
scene,204,0.4043,noun
depicts,198,0.3924,noun
woman,197,0.3904,noun
she,197,0.3904,other
it,184,0.3646,other
its,183,0.3626,other
sense,180,0.3567,noun
light,175,0.3468,adj
figure,174,0.3448,noun
overall,170,0.3369,adj
there,170,0.3369,other
from,168,0.3329,other
for,166,0.329,other
use,162,0.321,noun
features,160,0.3171,verb
characteristic,144,0.2854,adj
has,136,0.2695,verb
his,129,0.2556,other
at,128,0.2537,other
artist,125,0.2477,adj
what,122,0.2418,other
suggesting,119,0.2358,verb
one,112,0.2219,other
characterized,110,0.218,verb
life,109,0.216,noun
visible,107,0.212,adj
bold,107,0.212,noun
composition,104,0.2061,noun
tones,101,0.2001,noun
right,100,0.1982,adj
palette,99,0.1962,noun
figures,98,0.1942,noun
vibrant,98,0.1942,adj
impressionist,95,0.1883,adj
subject,94,0.1863,noun
piece,92,0.1823,noun
typical,91,0.1803,adj
often,91,0.1803,adv
lines,90,0.1783,noun
their,90,0.1783,other
movement,89,0.1764,noun
attire,89,0.1764,noun
hair,88,0.1744,noun
setting,88,0.1744,verb
elements,88,0.1744,noun
blue,88,0.1744,noun
deco,83,0.1645,adj
dress,82,0.1625,noun
known,82,0.1625,verb
suggests,81,0.1605,verb
soft,81,0.1605,adj
left,81,0.1605,verb
work,80,0.1585,verb
depth,78,0.1546,noun
face,78,0.1546,noun
white,77,0.1526,adj
seated,76,0.1506,verb
detail,76,0.1506,noun
red,76,0.1506,verb
side,76,0.1506,noun
wearing,75,0.1486,verb
brushstrokes,75,0.1486,noun
also,74,0.1466,adv
expression,74,0.1466,noun
was,74,0.1466,verb
depicted,74,0.1466,verb
rendered,73,0.1447,verb
other,73,0.1447,adj
loose,73,0.1447,adj
dressed,71,0.1407,adj
possibly,71,0.1407,adv
attention,70,0.1387,noun
could,69,0.1367,other
seems,69,0.1367,verb
within,69,0.1367,other
form,68,0.1348,noun
adding,68,0.1348,verb
central,68,0.1348,adj
two,68,0.1348,other
warm,67,0.1328,adj
focus,67,0.1328,noun
title,67,0.1328,noun
child,67,0.1328,noun
portrait,66,0.1308,noun
not,66,0.1308,adv
used,66,0.1308,verb
viewer,65,0.1288,adj
shapes,65,0.1288,noun
creating,64,0.1268,verb
like,62,0.1229,other
captures,60,0.1189,verb
titled,60,0.1189,verb
against,60,0.1189,other
adds,59,0.1169,verb
atmosphere,59,0.1169,adj
moment,59,0.1169,noun
around,58,0.1149,other
genre,58,0.1149,noun
flowers,58,0.1149,noun
impressionism,58,0.1149,adj
dark,58,0.1149,noun
emphasis,57,0.113,noun
towards,57,0.113,noun
young,57,0.113,adj
might,56,0.111,other
contrast,56,0.111,noun
such,56,0.111,adj
representation,55,0.109,noun
details,55,0.109,noun
adorned,54,0.107,verb
forms,54,0.107,noun
serene,54,0.107,noun
clothing,53,0.105,verb
period,53,0.105,noun
he,53,0.105,other
but,52,0.103,other
you,52,0.103,other
through,52,0.103,other
over,51,0.1011,other
quality,51,0.1011,noun
simple,50,0.0991,adj
head,50,0.0991,verb
suggest,50,0.0991,verb
while,50,0.0991,other
abstract,49,0.0971,adj
nature,49,0.0971,noun
indicating,49,0.0971,verb
shadow,49,0.0971,noun
girl,49,0.0971,noun
small,47,0.0931,adj
post,47,0.0931,noun
signature,47,0.0931,noun
mary,47,0.0931,adj
ve,46,0.0912,verb
green,46,0.0912,adj
bright,46,0.0912,verb
corner,46,0.0912,noun
water,45,0.0892,noun
capturing,45,0.0892,verb
yellow,45,0.0892,adj
includes,45,0.0892,verb
mood,45,0.0892,noun
body,44,0.0872,noun
stylized,44,0.0872,adj
than,44,0.0872,other
between,44,0.0872,other
they,44,0.0872,other
hues,43,0.0852,noun
who,43,0.0852,other
cassatt,43,0.0852,adj
both,42,0.0832,other
three,42,0.0832,other
rather,42,0.0832,adv
associated,42,0.0832,verb
provided,41,0.0812,verb
out,41,0.0812,adv
hat,41,0.0812,other
sky,41,0.0812,noun
various,41,0.0812,adj
where,41,0.0812,other
pop,41,0.0812,noun
into,40,0.0793,other
large,40,0.0793,adj
another,40,0.0793,other
perhaps,39,0.0773,adv
dynamic,39,0.0773,adj
filled,39,0.0773,verb
matisse,39,0.0773,noun
create,38,0.0753,noun
realistic,38,0.0753,adj
looking,38,0.0753,verb
giving,37,0.0733,verb
human,37,0.0733,adj
natural,37,0.0733,adj
created,37,0.0733,verb
traditional,37,0.0733,adj
can,37,0.0733,other
holds,36,0.0713,verb
hand,36,0.0713,noun
these,36,0.0713,other
reminiscent,36,0.0713,adj
classical,36,0.0713,adj
flat,36,0.0713,adj
warhol,36,0.0713,noun
patterns,35,0.0694,noun
essence,35,0.0694,noun
works,35,0.0694,noun
subjects,35,0.0694,noun
still,35,0.0694,adv
some,35,0.0694,other
geometric,34,0.0674,noun
slightly,34,0.0674,adv
quiet,34,0.0674,adj
rich,34,0.0674,adj
renaissance,34,0.0674,noun
table,34,0.0674,adj
subtle,33,0.0654,adj
more,33,0.0654,adj
effect,33,0.0654,noun
gives,33,0.0654,verb
time,33,0.0654,noun
during,33,0.0654,other
them,33,0.0654,other
technique,33,0.0654,noun
long,32,0.0634,adv
muted,32,0.0634,verb
featuring,32,0.0634,noun
providing,32,0.0634,verb
man,32,0.0634,noun
brushwork,32,0.0634,noun
along,32,0.0634,other
early,32,0.0634,adj
top,31,0.0614,adj
standing,31,0.0614,verb
stands,31,0.0614,noun
behind,31,0.0614,other
indicative,31,0.0614,adj
context,31,0.0614,noun
intricate,30,0.0594,adj
striking,30,0.0594,verb
yet,30,0.0594,other
