bigrams,count,percentage,pos
of the,7485,1.052,"other,other"
in the,4613,0.6483,"other,other"
to be,4541,0.6382,"other,verb"
to the,4345,0.6107,"other,other"
the image,4208,0.5914,"other,noun"
the artwork,3556,0.4998,"other,noun"
appears to,3041,0.4274,"verb,other"
the painting,2723,0.3827,"other,noun"
sense of,2365,0.3324,"noun,other"
on the,2364,0.3322,"other,other"
be a,2081,0.2925,"verb,other"
the artist,2063,0.2899,"other,noun"
a sense,2051,0.2883,"other,noun"
the background,2016,0.2833,"other,other"
use of,1991,0.2798,"noun,other"
depicts a,1940,0.2727,"verb,other"
is a,1919,0.2697,"verb,other"
and the,1904,0.2676,"other,other"
the scene,1870,0.2628,"other,noun"
with a,1790,0.2516,"other,other"
in a,1643,0.2309,"other,other"
the overall,1594,0.224,"other,adj"
characterized by,1530,0.215,"verb,other"
the style,1483,0.2084,"other,noun"
characteristic of,1407,0.1977,"adj,other"
image depicts,1400,0.1968,"noun,verb"
from the,1316,0.185,"other,other"
which is,1312,0.1844,"other,verb"
with the,1291,0.1814,"other,other"
of a,1228,0.1726,"other,other"
there are,1176,0.1653,"adv,verb"
the title,1147,0.1612,"other,noun"
seems to,1139,0.1601,"verb,other"
the use,1098,0.1543,"other,noun"
at the,1081,0.1519,"other,other"
style is,1066,0.1498,"noun,verb"
artwork is,1045,0.1469,"noun,verb"
by the,1010,0.1419,"other,other"
style of,1009,0.1418,"noun,other"
there s,1004,0.1411,"adv,noun"
color palette,957,0.1345,"noun,noun"
within the,954,0.1341,"other,other"
of color,951,0.1337,"other,noun"
you ve,942,0.1324,"other,noun"
the color,934,0.1313,"other,noun"
piece of,932,0.131,"noun,other"
known for,917,0.1289,"verb,other"
by its,896,0.1259,"other,other"
the central,888,0.1248,"other,adj"
features a,887,0.1247,"noun,other"
is characteristic,887,0.1247,"verb,adj"
the composition,884,0.1242,"other,noun"
and a,884,0.1242,"other,other"
s a,846,0.1189,"noun,other"
dressed in,835,0.1174,"verb,other"
the viewer,831,0.1168,"other,noun"
of light,826,0.1161,"other,adj"
image you,824,0.1158,"noun,other"
painting is,817,0.1148,"noun,verb"
light and,810,0.1138,"adj,other"
a piece,808,0.1136,"other,noun"
the piece,806,0.1133,"other,noun"
of abstract,801,0.1126,"other,adj"
artist s,800,0.1124,"noun,noun"
creating a,795,0.1117,"verb,other"
could be,771,0.1084,"other,verb"
emphasis on,756,0.1062,"noun,other"
it s,740,0.104,"other,noun"
abstract art,739,0.1039,"adj,adv"
the figures,732,0.1029,"other,noun"
such as,731,0.1027,"adj,other"
scene the,731,0.1027,"noun,other"
attention to,728,0.1023,"noun,other"
